dateTime,SSID,HOST,MACID,EVENT,RSSI
2020-06-09 05:42:32,ENTCORP,ENT-AP-01-02-02-01,07:02:21:b7:2c:e4,associated,-90
2020-06-09 07:07:50,ENTCORP,ENT-AP-01-02-02-01,07:02:21:b7:2c:e4,disassociated,-71
2020-06-09 07:15:39,ENTCORP,ENT-AP-01-01-01-01,07:02:21:b7:2c:e4,associated,-70
2020-06-09 15:16:18,ENTCORP,ENT-AP-01-01-01-01,07:02:21:b7:2c:e4,disassociated,-94
2020-06-09 00:52:34,ENTCORP,ENT-AP-02-03-02-02,88:f8:d4:11:29:33,associated,-85
2020-06-09 02:03:00,ENTCORP,ENT-AP-02-03-02-02,88:f8:d4:11:29:33,disassociated,-82
2020-06-09 02:14:21,ENTCORP,ENT-AP-02-03-02-02,88:f8:d4:11:29:33,associated,-70
2020-06-09 08:16:18,ENTCORP,ENT-AP-02-03-02-02,88:f8:d4:11:29:33,disassociated,-87
2020-06-09 08:30:33,ENTCORP,ENT-AP-02-03-01-02,88:f8:d4:11:29:33,associated,-76
2020-06-09 15:12:17,ENTCORP,ENT-AP-02-03-01-02,88:f8:d4:11:29:33,disassociated,-88
2020-06-09 07:44:27,ENTCORP,ENT-AP-01-03-03-02,7b:d2:f8:64:47:6b,associated,-87
2020-06-09 08:38:34,ENTCORP,ENT-AP-01-03-03-02,7b:d2:f8:64:47:6b,disassociated,-86
2020-06-09 09:01:38,ENTCORP,ENT-AP-01-03-01-01,7b:d2:f8:64:47:6b,associated,-90
2020-06-09 12:33:04,ENTCORP,ENT-AP-01-03-01-01,7b:d2:f8:64:47:6b,disassociated,-90
2020-06-09 12:59:52,ENTCORP,ENT-AP-04-02-01-01,7b:d2:f8:64:47:6b,associated,-76
2020-06-09 14:01:35,ENTCORP,ENT-AP-04-02-01-01,7b:d2:f8:64:47:6b,disassociated,-83
2020-06-09 14:17:45,ENTCORP,ENT-AP-01-03-01-01,7b:d2:f8:64:47:6b,associated,-78
2020-06-09 20:32:31,ENTCORP,ENT-AP-01-03-01-01,7b:d2:f8:64:47:6b,disassociated,-73
2020-06-09 00:50:02,ENTCORP,ENT-AP-03-03-01-02,3c:ce:b9:fa:27:6b,associated,-86
2020-06-09 07:37:48,ENTCORP,ENT-AP-03-03-01-02,3c:ce:b9:fa:27:6b,disassociated,-72
2020-06-09 07:58:22,ENTCORP,ENT-AP-03-03-03-02,3c:ce:b9:fa:27:6b,associated,-92
2020-06-09 16:21:21,ENTCORP,ENT-AP-03-03-03-02,3c:ce:b9:fa:27:6b,disassociated,-83
2020-06-09 04:04:51,ENTCORP,ENT-AP-01-03-03-02,a8:82:02:a5:9d:17,associated,-78
2020-06-09 10:20:06,ENTCORP,ENT-AP-01-03-03-02,a8:82:02:a5:9d:17,disassociated,-78
2020-06-09 10:37:08,ENTCORP,ENT-AP-01-03-01-01,a8:82:02:a5:9d:17,associated,-92
2020-06-09 13:37:31,ENTCORP,ENT-AP-01-03-01-01,a8:82:02:a5:9d:17,disassociated,-83
2020-06-08 23:47:18,ENTCORP,ENT-AP-02-03-03-02,93:a4:d3:f0:ce:37,associated,-71
2020-06-09 02:21:06,ENTCORP,ENT-AP-02-03-03-02,93:a4:d3:f0:ce:37,disassociated,-77
2020-06-09 02:41:55,ENTCORP,ENT-AP-04-02-02-01,93:a4:d3:f0:ce:37,associated,-94
2020-06-09 05:30:10,ENTCORP,ENT-AP-04-02-02-01,93:a4:d3:f0:ce:37,disassociated,-94
2020-06-09 05:41:40,ENTCORP,ENT-AP-01-03-03-01,93:a4:d3:f0:ce:37,associated,-95
2020-06-09 13:22:12,ENTCORP,ENT-AP-01-03-03-01,93:a4:d3:f0:ce:37,disassociated,-73
2020-06-09 04:30:16,ENTCORP,ENT-AP-03-02-02-01,71:6e:c3:57:0f:2b,associated,-91
2020-06-09 05:58:44,ENTCORP,ENT-AP-03-02-02-01,71:6e:c3:57:0f:2b,disassociated,-84
2020-06-09 06:16:11,ENTCORP,ENT-AP-03-02-02-01,71:6e:c3:57:0f:2b,associated,-77
2020-06-09 14:02:53,ENTCORP,ENT-AP-03-02-02-01,71:6e:c3:57:0f:2b,disassociated,-81
2020-06-09 05:39:17,ENTCORP,ENT-AP-02-03-02-03,b1:f1:6a:31:56:38,associated,-78
2020-06-09 14:33:40,ENTCORP,ENT-AP-02-03-02-03,b1:f1:6a:31:56:38,disassociated,-85
2020-06-09 04:13:51,ENTCORP,ENT-AP-01-03-02-03,4a:2c:33:2b:02:46,associated,-84
2020-06-09 10:59:04,ENTCORP,ENT-AP-01-03-02-03,4a:2c:33:2b:02:46,disassociated,-77
2020-06-09 11:18:29,ENTCORP,ENT-AP-03-03-03-01,4a:2c:33:2b:02:46,associated,-77
2020-06-09 17:38:28,ENTCORP,ENT-AP-03-03-03-01,4a:2c:33:2b:02:46,disassociated,-74
2020-06-09 02:41:39,ENTCORP,ENT-AP-02-01-02-02,18:6c:c5:88:32:92,associated,-84
2020-06-09 05:48:44,ENTCORP,ENT-AP-02-01-02-02,18:6c:c5:88:32:92,disassociated,-82
2020-06-09 06:08:18,ENTCORP,ENT-AP-02-01-02-02,18:6c:c5:88:32:92,associated,-94
2020-06-09 15:04:00,ENTCORP,ENT-AP-02-01-02-02,18:6c:c5:88:32:92,disassociated,-94
2020-06-09 02:18:01,ENTCORP,ENT-AP-01-01-01-01,b1:42:7f:46:51:62,associated,-93
2020-06-09 03:23:27,ENTCORP,ENT-AP-01-01-01-01,b1:42:7f:46:51:62,disassociated,-84
