dateTime,SSID,HOST,MACID,EVENT,RSSI
2020-06-08 08:49:53,ENTCORP,ENT-AP-01-03-03-01,bd:dc:b0:ab:26:06,associated,-90
2020-06-08 14:39:22,ENTCORP,ENT-AP-01-03-03-01,bd:dc:b0:ab:26:06,disassociated,-92
2020-06-08 14:47:32,ENTCORP,ENT-AP-01-03-03-01,bd:dc:b0:ab:26:06,associated,-78
2020-06-08 22:00:27,ENTCORP,ENT-AP-01-03-03-01,bd:dc:b0:ab:26:06,disassociated,-80
2020-06-08 01:50:13,ENTCORP,ENT-AP-03-03-03-02,c2:19:18:98:b6:38,associated,-83
2020-06-08 09:33:38,ENTCORP,ENT-AP-03-03-03-02,c2:19:18:98:b6:38,disassociated,-92
2020-06-08 09:41:19,ENTCORP,ENT-AP-02-01-02-01,c2:19:18:98:b6:38,associated,-74
2020-06-08 10:45:50,ENTCORP,ENT-AP-02-01-02-01,c2:19:18:98:b6:38,disassociated,-70
2020-06-08 08:11:32,ENTCORP,ENT-AP-04-01-02-01,9e:84:59:e8:fe:f1,associated,-92
2020-06-08 11:21:30,ENTCORP,ENT-AP-04-01-02-01,9e:84:59:e8:fe:f1,disassociated,-82
2020-06-08 11:50:29,ENTCORP,ENT-AP-03-01-02-02,9e:84:59:e8:fe:f1,associated,-78
2020-06-08 17:26:07,ENTCORP,ENT-AP-03-01-02-02,9e:84:59:e8:fe:f1,disassociated,-92
2020-06-08 01:28:17,ENTCORP,ENT-AP-02-03-01-02,97:00:d4:73:a7:5d,associated,-70
2020-06-08 06:07:43,ENTCORP,ENT-AP-02-03-01-02,97:00:d4:73:a7:5d,disassociated,-79
2020-06-08 06:15:40,ENTCORP,ENT-AP-02-03-01-02,97:00:d4:73:a7:5d,associated,-80
2020-06-08 08:33:50,ENTCORP,ENT-AP-02-03-01-02,97:00:d4:73:a7:5d,disassociated,-86
2020-06-08 08:56:45,ENTCORP,ENT-AP-01-03-01-02,97:00:d4:73:a7:5d,associated,-86
2020-06-08 13:32:50,ENTCORP,ENT-AP-01-03-01-02,97:00:d4:73:a7:5d,disassociated,-91
2020-06-08 04:58:31,ENTCORP,ENT-AP-01-01-02-02,c9:0d:ac:d6:79:ee,associated,-82
2020-06-08 10:43:38,ENTCORP,ENT-AP-01-01-02-02,c9:0d:ac:d6:79:ee,disassociated,-89
2020-06-08 11:10:01,ENTCORP,ENT-AP-03-01-01-01,c9:0d:ac:d6:79:ee,associated,-93
2020-06-08 18:44:14,ENTCORP,ENT-AP-03-01-01-01,c9:0d:ac:d6:79:ee,disassociated,-78
2020-06-08 00:48:05,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,associated,-79
2020-06-08 04:04:08,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,disassociated,-75
2020-06-08 04:26:11,ENTCORP,ENT-AP-04-02-01-02,58:b5:c9:76:4f:39,associated,-71
2020-06-08 05:11:04,ENTCORP,ENT-AP-04-02-01-02,58:b5:c9:76:4f:39,disassociated,-88
2020-06-08 05:24:20,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,associated,-82
2020-06-08 08:34:34,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,disassociated,-75
2020-06-08 08:48:30,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,associated,-91
2020-06-08 09:43:44,ENTCORP,ENT-AP-01-01-02-01,58:b5:c9:76:4f:39,disassociated,-94
2020-06-08 07:57:44,ENTCORP,ENT-AP-02-02-01-02,62:59:2e:be:bc:19,associated,-71
2020-06-08 08:18:19,ENTCORP,ENT-AP-02-02-01-02,62:59:2e:be:bc:19,disassociated,-79
2020-06-08 08:46:29,ENTCORP,ENT-AP-03-01-02-01,62:59:2e:be:bc:19,associated,-74
2020-06-08 09:59:06,ENTCORP,ENT-AP-03-01-02-01,62:59:2e:be:bc:19,disassociated,-89
2020-06-08 10:07:34,ENTCORP,ENT-AP-02-01-02-01,62:59:2e:be:bc:19,associated,-78
2020-06-08 15:18:00,ENTCORP,ENT-AP-02-01-02-01,62:59:2e:be:bc:19,disassociated,-83
2020-06-08 15:41:45,ENTCORP,ENT-AP-03-01-02-01,62:59:2e:be:bc:19,associated,-73
2020-06-08 16:01:09,ENTCORP,ENT-AP-03-01-02-01,62:59:2e:be:bc:19,disassociated,-91
2020-06-08 16:17:07,ENTCORP,ENT-AP-02-02-01-02,62:59:2e:be:bc:19,associated,-86
2020-06-09 00:58:01,ENTCORP,ENT-AP-02-02-01-02,62:59:2e:be:bc:19,disassociated,-88
2020-06-08 06:29:18,ENTCORP,ENT-AP-03-01-01-01,b6:2b:73:dd:a0:21,associated,-91
2020-06-08 13:54:22,ENTCORP,ENT-AP-03-01-01-01,b6:2b:73:dd:a0:21,disassociated,-80
2020-06-08 13:59:56,ENTCORP,ENT-AP-02-01-02-02,b6:2b:73:dd:a0:21,associated,-71
2020-06-08 20:38:23,ENTCORP,ENT-AP-02-01-02-02,b6:2b:73:dd:a0:21,disassociated,-76
2020-06-08 03:09:56,ENTCORP,ENT-AP-03-02-01-01,5c:1a:6a:7a:7d:f8,associated,-95
2020-06-08 09:07:36,ENTCORP,ENT-AP-03-02-01-01,5c:1a:6a:7a:7d:f8,disassociated,-88
2020-06-08 09:19:10,ENTCORP,ENT-AP-03-02-01-01,5c:1a:6a:7a:7d:f8,associated,-81
2020-06-08 11:20:18,ENTCORP,ENT-AP-03-02-01-01,5c:1a:6a:7a:7d:f8,disassociated,-88
2020-06-08 11:38:29,ENTCORP,ENT-AP-03-03-01-02,5c:1a:6a:7a:7d:f8,associated,-87
2020-06-08 15:11:24,ENTCORP,ENT-AP-03-03-01-02,5c:1a:6a:7a:7d:f8,disassociated,-79
2020-06-08 09:35:11,ENTCORP,ENT-AP-02-03-02-03,36:ba:30:66:95:8f,associated,-90
2020-06-08 15:29:03,ENTCORP,ENT-AP-02-03-02-03,36:ba:30:66:95:8f,disassociated,-88
2020-06-08 15:45:50,ENTCORP,ENT-AP-02-01-02-02,36:ba:30:66:95:8f,associated,-76
2020-06-08 21:48:44,ENTCORP,ENT-AP-02-01-02-02,36:ba:30:66:95:8f,disassociated,-78
2020-06-08 06:14:01,ENTCORP,ENT-AP-03-03-03-01,19:70:a3:90:bc:e4,associated,-90
2020-06-08 10:08:46,ENTCORP,ENT-AP-03-03-03-01,19:70:a3:90:bc:e4,disassociated,-71
2020-06-08 10:35:01,ENTCORP,ENT-AP-01-01-01-02,19:70:a3:90:bc:e4,associated,-87
2020-06-08 19:33:33,ENTCORP,ENT-AP-01-01-01-02,19:70:a3:90:bc:e4,disassociated,-75
2020-06-08 08:00:34,ENTCORP,ENT-AP-04-02-01-01,b4:76:cf:fc:6b:ab,associated,-95
2020-06-08 14:57:12,ENTCORP,ENT-AP-04-02-01-01,b4:76:cf:fc:6b:ab,disassociated,-81
2020-06-08 15:08:32,ENTCORP,ENT-AP-01-02-01-01,b4:76:cf:fc:6b:ab,associated,-85
2020-06-08 19:19:53,ENTCORP,ENT-AP-01-02-01-01,b4:76:cf:fc:6b:ab,disassociated,-73
2020-06-08 05:12:39,ENTCORP,ENT-AP-01-03-02-01,21:9c:10:83:66:1b,associated,-93
2020-06-08 08:35:25,ENTCORP,ENT-AP-01-03-02-01,21:9c:10:83:66:1b,disassociated,-88
2020-06-08 08:40:26,ENTCORP,ENT-AP-03-02-01-02,21:9c:10:83:66:1b,associated,-82
2020-06-08 14:49:38,ENTCORP,ENT-AP-03-02-01-02,21:9c:10:83:66:1b,disassociated,-94
2020-06-08 03:15:01,ENTCORP,ENT-AP-03-01-02-01,8e:83:9b:e1:1f:2a,associated,-80
2020-06-08 07:43:10,ENTCORP,ENT-AP-03-01-02-01,8e:83:9b:e1:1f:2a,disassociated,-83
2020-06-08 07:54:54,ENTCORP,ENT-AP-03-01-02-01,8e:83:9b:e1:1f:2a,associated,-84
2020-06-08 12:16:29,ENTCORP,ENT-AP-03-01-02-01,8e:83:9b:e1:1f:2a,disassociated,-77
2020-06-08 02:18:20,ENTCORP,ENT-AP-02-01-02-01,ce:45:30:27:ef:4b,associated,-92
2020-06-08 06:11:16,ENTCORP,ENT-AP-02-01-02-01,ce:45:30:27:ef:4b,disassociated,-92
2020-06-08 06:37:02,ENTCORP,ENT-AP-01-03-03-01,ce:45:30:27:ef:4b,associated,-84
2020-06-08 12:50:15,ENTCORP,ENT-AP-01-03-03-01,ce:45:30:27:ef:4b,disassociated,-82
2020-06-08 06:39:03,ENTCORP,ENT-AP-03-01-01-02,76:f2:c3:8a:84:3e,associated,-88
2020-06-08 12:08:31,ENTCORP,ENT-AP-03-01-01-02,76:f2:c3:8a:84:3e,disassociated,-74
2020-06-08 12:24:20,ENTCORP,ENT-AP-01-02-01-02,76:f2:c3:8a:84:3e,associated,-93
2020-06-08 13:44:35,ENTCORP,ENT-AP-01-02-01-02,76:f2:c3:8a:84:3e,disassociated,-76
2020-06-08 14:08:12,ENTCORP,ENT-AP-01-02-01-02,76:f2:c3:8a:84:3e,associated,-84
2020-06-08 17:15:01,ENTCORP,ENT-AP-01-02-01-02,76:f2:c3:8a:84:3e,disassociated,-74
2020-06-08 06:56:58,ENTCORP,ENT-AP-03-03-02-01,82:26:39:fd:d0:24,associated,-75
2020-06-08 13:13:03,ENTCORP,ENT-AP-03-03-02-01,82:26:39:fd:d0:24,disassociated,-79
2020-06-08 13:20:09,ENTCORP,ENT-AP-01-03-02-03,82:26:39:fd:d0:24,associated,-86
2020-06-08 15:39:04,ENTCORP,ENT-AP-01-03-02-03,82:26:39:fd:d0:24,disassociated,-94
2020-06-08 15:46:51,ENTCORP,ENT-AP-01-03-02-03,82:26:39:fd:d0:24,associated,-88
2020-06-09 00:13:01,ENTCORP,ENT-AP-01-03-02-03,82:26:39:fd:d0:24,disassociated,-95
